Region,Sessions,Population,Raport
Bucharest,113861,1883425,6.04
Iasi,37505,772348,4.85
Prahova,22139,762886,2.9
Cluj,30831,691106,4.46
Constanta,12079,684082,1.76
Timis,29179,683540,4.26
Dolj,14849,660544,2.24
Suceava,19175,634810,3.02
Bacau,15123,616168,2.45
Arges,14121,612431,2.3
Bihor,12999,575398,2.25
Mures,7827,540508,1.44
Galati,12646,530612,2.38
Brasov,21321,529906,4.02
Dambovita,7621,510287,1.49
Neamt,12639,507399,2.49
Maramures,11716,472117,2.48
Buzau,9927,440347,2.25
Olt,5491,421769,1.3
Arad,10249,412235,2.48
Hunedoara,8118,410383,1.97
Botosani,8331,404429,2.05
Vaslui,7523,393340,1.91
Sibiu,9875,377273,2.61
Valcea,9065,374240,2.42
Teleorman,3081,369897,0.83
Ilfov,2742,353481,0.77
Gorj,12843,345771,3.71
Alba,9028,342336,2.63
Vrancea,5823,339510,1.71
Satu Mare,6185,336117,1.84
Braila,4053,316652,1.27
Harghita,1285,304765,0.42
Bistrita-Nasaud,7631,301425,2.53
Caras-Severin,3601,287535,1.25
Calarasi,2306,287269,0.8
Giurgiu,1296,267147,0.48
Ialomita,2648,265559,0.99
Mehedinti,3570,259212,1.37
Salaj,4124,225631,1.82
Tulcea,2334,211622,1.1
Covasna,908,211254,0.42